match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
160,2022,2022-02-18,Delhi,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,27,0,Hardik Pandya
161,2022,2022-02-21,Delhi,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,0,4,Rinku Singh
162,2022,2022-02-24,Mohali,PCA Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,8,Glenn Maxwell
163,2022,2022-02-27,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,38,0,Sanju Samson
164,2022,2022-03-02,Delhi,Arun Jaitley Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,40,0,Liam Livingstone
165,2022,2022-03-05,Hyderabad,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,1,T Natarajan
166,2022,2022-03-08,Delhi,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,0,4,Shreyas Iyer
167,2022,2022-03-11,Delhi,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Delhi Capitals,0,3,Kuldeep Yadav
168,2022,2022-03-14,Mumbai,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,76,0,Sam Curran
169,2022,2022-03-17,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,59,0,Heinrich Klaasen
170,2022,2022-03-20,Chennai,MA Chidambaram Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Punjab Kings,24,0,Arshdeep Singh
171,2022,2022-03-23,Delhi,Arun Jaitley Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,73,0,Bhuvneshwar Kumar
172,2022,2022-03-26,Mumbai,Wankhede Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,Yuzvendra Chahal
173,2022,2022-03-29,Chennai,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,48,0,Suryakumar Yadav
174,2022,2022-04-01,Delhi,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,0,3,Faf du Plessis
175,2022,2022-04-04,Mohali,PCA Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,11,0,Ravindra Jadeja
176,2022,2022-04-07,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,42,0,Arshdeep Singh
177,2022,2022-04-10,Delhi,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Mumbai Indians,0,7,Hardik Pandya
178,2022,2022-04-13,Bangalore,Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,2,Mohammed Siraj
179,2022,2022-04-16,Bangalore,Chinnaswamy Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,Sunil Narine
180,2022,2022-04-19,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Punjab Kings,51,0,Sam Curran
181,2023,2022-05-12,Mumbai,Wankhede Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,9,0,Aiden Markram
182,2023,2022-05-15,Bangalore,Chinnaswamy Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Mumbai Indians,0,6,Hardik Pandya
183,2023,2022-05-18,Bangalore,Chinnaswamy Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,23,0,Shimron Hetmyer
184,2023,2022-05-21,Delhi,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,29,0,Kuldeep Yadav
185,2023,2022-05-24,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,42,0,T Natarajan
186,2023,2022-05-27,Bangalore,Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,0,2,Sunil Narine
187,2023,2022-05-30,Chennai,MA Chidambaram Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,52,0,Rishabh Pant
188,2023,2022-06-02,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,52,0,Ishan Kishan
189,2023,2022-06-05,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,0,9,Kuldeep Yadav
190,2023,2022-06-08,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,0,8,Sam Curran
191,2023,2022-06-11,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,21,0,Rishabh Pant
192,2023,2022-06-14,Bangalore,Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,50,0,Sam Curran
193,2023,2022-06-17,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,3,Yuzvendra Chahal
194,2023,2022-06-20,Bangalore,Chinnaswamy Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,0,1,Sanju Samson
195,2023,2022-06-23,Jaipur,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,69,0,Ishan Kishan
196,2023,2022-06-26,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Rajasthan Royals,0,5,Ravichandran Ashwin
197,2023,2022-06-29,Mumbai,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,0,4,Ravindra Jadeja
198,2023,2022-07-02,Delhi,Arun Jaitley Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,0,9,Sam Curran
199,2023,2022-07-05,Kolkata,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,24,0,Virat Kohli
200,2023,2022-07-08,Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,47,0,Ishan Kishan
201,2023,2022-07-11,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,8,MS Dhoni
202,2023,2022-07-14,Mohali,PCA Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,12,0,Sunil Narine
203,2023,2022-07-17,Mohali,PCA Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Punjab Kings,0,3,Arshdeep Singh
204,2023,2022-07-20,Hyderabad,Rajiv Gandhi International Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,52,0,Heinrich Klaasen
205,2023,2022-07-23,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,22,0,Sanju Samson
206,2023,2022-07-26,Delhi,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,9,Virat Kohli
207,2023,2022-07-29,Bangalore,Chinnaswamy Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,71,0,Jonny Bairstow
208,2023,2022-08-01,Delhi,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,0,6,Shimron Hetmyer
209,2023,2022-08-04,Jaipur,Sawai Mansingh Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,59,0,Rishabh Pant
210,2023,2022-08-07,Mumbai,Wankhede Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,12,0,Shimron Hetmyer
211,2023,2022-08-10,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,30,0,Shikhar Dhawan
212,2023,2022-08-13,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,0,9,Dinesh Karthik
213,2023,2022-08-16,Mumbai,Wankhede Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,0,9,T Natarajan
214,2023,2022-08-19,Mohali,PCA Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,0,8,Prithvi Shaw
215,2023,2022-08-22,Jaipur,Sawai Mansingh Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,68,0,Glenn Maxwell
216,2023,2022-08-25,Jaipur,Sawai Mansingh Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Punjab Kings,0,7,Arshdeep Singh
217,2023,2022-08-28,Mumbai,Wankhede Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,5,Liam Livingstone
218,2023,2022-08-31,Jaipur,Sawai Mansingh Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,37,0,MS Dhoni
219,2023,2022-09-03,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,2,Andre Russell
220,2023,2022-09-06,Bangalore,Chinnaswamy Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,42,0,Yuzvendra Chahal
221,2023,2022-09-09,Mumbai,Wankhede Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,28,0,Ravichandran Ashwin
222,2023,2022-09-12,Hyderabad,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,0,1,Virat Kohli
223,2023,2022-09-15,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,0,3,Sam Curran
224,2023,2022-09-18,Kolkata,Eden Gardens,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,0,5,Jonny Bairstow
225,2023,2022-09-21,Delhi,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,0,7,Rishabh Pant
226,2023,2022-09-24,Hyderabad,Rajiv Gandhi International Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,0,6,Suryakumar Yadav
227,2023,2022-09-27,Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,0,5,Dinesh Karthik
228,2023,2022-09-30,Delhi,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,5,Faf du Plessis
229,2023,2022-10-03,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,34,0,Aiden Markram
230,2023,2022-10-06,Mohali,PCA Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,0,9,Jonny Bairstow
231,2023,2022-10-09,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,13,0,Rishabh Pant
232,2023,2022-10-12,Bangalore,Chinnaswamy Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,0,2,Jos Buttler
233,2023,2022-10-15,Mohali,PCA Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Punjab Kings,0,8,Sam Curran
234,2023,2022-10-18,Mohali,PCA Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,33,0,Shimron Hetmyer
235,2023,2022-10-21,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,14,0,Hardik Pandya
236,2023,2022-10-24,Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,6,Mohammed Siraj
237,2023,2022-10-27,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,50,0,Shikhar Dhawan
238,2023,2022-10-30,Hyderabad,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,44,0,Ravichandran Ashwin
239,2023,2022-11-02,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,41,0,Aiden Markram
240,2023,2022-11-05,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,10,0,Devon Conway
